Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
BA.1,2021-03-30,17526,0,14524.5714285714,0,0,3.38055833948204e-08,0.000172921354338837
BA.1,2021-03-31,15839,0,14623.2857142857,0,0,3.35790299873911e-08,0.000171762594332611
BA.1,2021-04-01,15570,0,14647.7142857143,0,0,3.35217210456135e-08,0.000171469474218772
BA.1,2021-04-02,12194,0,14382.1428571429,0,0,3.41417059323494e-08,0.000174640528617502
BA.1,2021-04-03,9729,0,14398.5714285714,0,0,3.4101397651e-08,0.000174434363018317
BA.1,2021-04-04,8340,0,14445.7142857143,0,0,3.39904508207975e-08,0.000173866900714194
BA.1,2021-04-05,18549,0,13963.8571428571,0,0,3.51636894111854e-08,0.000179867674750892
BA.1,2021-04-06,16405,0,13803.7142857143,0,0,3.55712588336213e-08,0.000181952265336736
BA.1,2021-04-07,16329,0,13873.7142857143,0,0,3.53917905341841e-08,0.000181034341439967
BA.1,2021-04-08,15731,0,13896.7142857143,0,0,3.53332169893049e-08,0.000180734756016266
BA.1,2021-04-09,15417,0,14357.1428571429,0,0,3.42011562196626e-08,0.00017494460016883
BA.1,2021-04-10,11115,0,14555.1428571429,0,0,3.37359063040919e-08,0.00017256497481893
BA.1,2021-04-11,8501,0,14578.1428571429,0,0,3.36826814100078e-08,0.000172292743755577
BA.1,2021-04-12,22501,0,15142.7142857143,0,0,3.24259687021259e-08,0.00016586497385333
BA.1,2021-04-13,17838,0,15347.4285714286,0,0,3.19949535371353e-08,0.000163660429999542
BA.1,2021-04-14,16167,1,15324.2857142857,0.142857142857143,9.32227090519251e-06,3.20429744143808e-08,0.000163906046024906
BA.1,2021-04-15,24524,0,16580.4285714286,0.142857142857143,8.61601027028424e-06,2.96156301195465e-08,0.000151490648218225
BA.1,2021-04-16,14944,1,16512.8571428571,0.285714285714286,1.73025348213513e-05,2.97357910300627e-08,0.000152105251732981
BA.1,2021-04-17,10022,0,16356.7142857143,0.285714285714286,1.74677065774649e-05,3.00193829152046e-08,0.000153555776565439
BA.1,2021-04-18,7496,0,16213.1428571429,0.285714285714286,1.76223874810559e-05,3.02860037985376e-08,0.000154919495681655
BA.1,2021-04-19,20965,0,15993.7142857143,0.285714285714286,1.78641609203616e-05,3.07006925003112e-08,0.000157040552022164
BA.1,2021-04-20,16340,0,15779.7142857143,0.285714285714286,1.81064295931485e-05,3.11170324227552e-08,0.000159170049552704
BA.1,2021-04-21,15280,0,15653,0.142857142857143,9.12650245046591e-06,3.13694952045633e-08,0.000160461345250205
BA.1,2021-04-22,15035,0,14297.4285714286,0.142857142857143,9.99180671849084e-06,3.4344685173786e-08,0.000175678710149948
BA.1,2021-04-23,14306,0,14206.2857142857,0,0,3.45646845591433e-08,0.000176803943711828
BA.1,2021-04-24,9188,0,14087.1428571429,0,0,3.48566647116242e-08,0.000178297336212415
BA.1,2021-04-25,7389,0,14071.8571428571,0,0,3.48938193934398e-08,0.000178487371305488
BA.1,2021-04-26,21953,0,14213,0,0,3.45476615162399e-08,0.000176716875781281
BA.1,2021-04-27,16974,0,14303.5714285714,0,0,3.43278780841285e-08,0.00017559274667905
BA.1,2021-04-28,15163,0,14286.8571428571,0,0,3.43687238686707e-08,0.000175801661219391
BA.1,2021-04-29,15060,0,14290.4285714286,0,0,3.43615087266954e-08,0.000175764757832927
BA.1,2021-04-30,15067,0,14399.1428571429,0,0,3.4101397651e-08,0.000174434363018317
BA.1,2021-05-01,9282,0,14412.5714285714,0,0,3.40682739945952e-08,0.000174264944719215
BA.1,2021-05-02,7418,0,14416.7142857143,0,0,3.40588219078955e-08,0.00017421659992029
BA.1,2021-05-03,21340,0,14329.1428571429,0,0,3.42679868182852e-08,0.000175286419835788
BA.1,2021-05-04,14605,0,13990.7142857143,0,0,3.5095831317755e-08,0.000179520601307477
BA.1,2021-05-05,14628,0,13914.2857142857,0,0,3.52900479627479e-08,0.000180513959813496
BA.1,2021-05-06,13518,0,13694,0,0,3.58569874024305e-08,0.000183413675309645
BA.1,2021-05-07,12985,0,13396.5714285714,0,0,3.66518912092912e-08,0.000187479342134341
BA.1,2021-05-08,8250,0,13249.1428571429,0,0,3.70613090849819e-08,0.00018957337103491
BA.1,2021-05-09,6375,0,13100.1428571429,0,0,3.74828380617582e-08,0.000191729339373144
BA.1,2021-05-10,19805,1,12880.8571428571,0.142857142857143,1.10906550140851e-05,3.81201008555544e-08,0.000194988699401446
BA.1,2021-05-11,13653,0,12744.8571428571,0.142857142857143,1.12090030712668e-05,3.85268667959698e-08,0.000197069148976571
BA.1,2021-05-12,12017,0,12371.8571428571,0.142857142857143,1.15469441012436e-05,3.96883791351577e-08,0.000203009808976081
BA.1,2021-05-13,10223,0,11901.1428571429,0.142857142857143,1.20036491093292e-05,4.12590734865578e-08,0.000211043211309651
BA.1,2021-05-14,10454,0,11539.5714285714,0.142857142857143,1.23797615657922e-05,4.25497322871196e-08,0.000217644308147958
BA.1,2021-05-15,13774,0,12328.7142857143,0.142857142857143,1.15873512473784e-05,3.98267979574787e-08,0.000203717762221316
BA.1,2021-05-16,5596,0,12217.4285714286,0.142857142857143,1.16928977339164e-05,4.01919047760368e-08,0.000205585125484664
BA.1,2021-05-17,18981,0,12099.7142857143,0,0,4.05805292046501e-08,0.000207572767316654
BA.1,2021-05-18,12620,0,11952.1428571429,0,0,4.10830218918165e-08,0.000210142788978501
BA.1,2021-05-19,11236,0,11840.5714285714,0,0,4.14681345553146e-08,0.000212112460721674
BA.1,2021-05-20,10002,0,11809,0,0,4.15805024275295e-08,0.000212687169263791
BA.1,2021-05-21,9413,0,11660.2857142857,0,0,4.21118370656037e-08,0.000215404690313746
BA.1,2021-05-22,5826,0,10524.8571428571,0,0,4.66530055796415e-08,0.000238630281182298
BA.1,2021-05-23,4498,0,10368,0,0,4.73594431872128e-08,0.000242243274299066
BA.1,2021-05-24,14735,0,9761.42857142857,0,0,5.03044739229688e-08,0.000257305151455075
BA.1,2021-05-25,11243,0,9564.71428571429,0,0,5.13352547827103e-08,0.000262576857674559
BA.1,2021-05-26,10138,0,9407.85714285714,0,0,5.21919108884912e-08,0.000266958019257028
BA.1,2021-05-27,9146,0,9285.57142857143,0,0,5.28775927221226e-08,0.000270464760250409
BA.1,2021-05-28,8463,0,9149.85714285714,0,0,5.36635114034131e-08,0.00027448412132335
BA.1,2021-05-29,5972,0,9170.71428571429,0,0,5.35406346209595e-08,0.000273855703473671
BA.1,2021-05-30,5256,0,9279,0,0,5.29174820597962e-08,0.000270668763491491
BA.1,2021-05-31,12381,0,8942.71428571429,0,0,5.49056042176019e-08,0.000280836424337826
BA.1,2021-06-01,11477,0,8976.14285714286,0,0,5.47037510039194e-08,0.000279804110700449
BA.1,2021-06-02,10018,0,8959,0,0,5.48075502927624e-08,0.000280334959046616
BA.1,2021-06-03,9781,0,9049.71428571429,0,0,5.42564619856699e-08,0.000277516590373025
BA.1,2021-06-04,9563,0,9206.85714285714,0,0,5.33312927664167e-08,0.000272785084068523
BA.1,2021-06-05,7361,0,9405.28571428571,0,0,5.22085585825837e-08,0.000267043159696265
BA.1,2021-06-06,6204,0,9540.71428571429,0,0,5.14643831576507e-08,0.000263237254901023
BA.1,2021-06-07,14671,0,9867.85714285714,0,0,4.97590298392102e-08,0.000254515584182713
BA.1,2021-06-08,11112,0,9815.71428571429,0,0,5.00226202618271e-08,0.000255863666908374
BA.1,2021-06-09,9352,0,9720.57142857143,0,0,5.05114615929296e-08,0.000258363747456078
BA.1,2021-06-10,7982,0,9463.57142857143,0,0,5.18830911780374e-08,0.000265378637350934
BA.1,2021-06-11,7553,0,9176.42857142857,0,0,5.35114611370803e-08,0.00027370650406277
BA.1,2021-06-12,4564,0,8776.85714285714,0,0,5.59440080491644e-08,0.000286146991519343
BA.1,2021-06-13,3800,0,8433.42857142857,0,0,5.82260153659067e-08,0.000297817451384
BA.1,2021-06-14,10096,0,7779.85714285714,0,0,6.31129517478329e-08,0.000322809373604569
BA.1,2021-06-15,16337,0,8526.28571428572,0,0,5.75909156126336e-08,0.000294569488544525
BA.1,2021-06-16,9413,0,8535,0,0,5.75301888336504e-08,0.000294258925259301
BA.1,2021-06-17,8411,0,8596.28571428571,0,0,5.71219478679905e-08,0.00029217113442596
BA.1,2021-06-18,9292,0,8844.71428571429,0,0,5.5513924960338e-08,0.000283947479624088
BA.1,2021-06-19,5331,0,8954.28571428571,0,0,5.48381545007728e-08,0.00028049147446749
BA.1,2021-06-20,5127,0,9143.85714285714,0,0,5.36987227184971e-08,0.000274664199353071
BA.1,2021-06-21,11193,0,9300.57142857143,0,0,5.27923177474853e-08,0.000270028644286634
BA.1,2021-06-22,12031,0,8685.42857142857,0,0,5.65366045304932e-08,0.000289177614290454
BA.1,2021-06-23,10888,0,8896.14285714286,0,0,5.51956773740586e-08,0.000282319908787239
BA.1,2021-06-24,9586,0,9064,0,0,5.41726612906272e-08,0.000277088017250179
BA.1,2021-06-25,8621,0,8968.14285714286,0,0,5.47525487079469e-08,0.000280053671027128
BA.1,2021-06-26,8504,0,9421.42857142857,0,0,5.21198933926878e-08,0.000266589703842346
BA.1,2021-06-27,7312,0,9733.57142857143,0,0,5.04440040107453e-08,0.000258018749600242
BA.1,2021-06-28,13622,0,10080.5714285714,0,0,4.87077045477509e-08,0.000249138764280558
BA.1,2021-06-29,15062,0,10513.5714285714,0,0,4.67018139183796e-08,0.000238879906169061
BA.1,2021-06-30,12692,0,10771.2857142857,0,0,4.55875174434445e-08,0.000233180941101368
BA.1,2021-07-01,12647,0,11208.5714285714,0,0,4.38061911101286e-08,0.000224070446763018
BA.1,2021-07-02,11261,0,11585.7142857143,0,0,4.23808003526731e-08,0.000216780305305314
BA.1,2021-07-03,8169,0,11537.8571428571,0,0,4.255710771028e-08,0.000217682029745677
BA.1,2021-07-04,8516,0,11709.8571428571,0,0,4.19320294763709e-08,0.000214485061836012
BA.1,2021-07-05,15604,0,11993,0,0,4.09425759032232e-08,0.000209424472250433
BA.1,2021-07-06,15035,0,11989.1428571429,0,0,4.09562356631495e-08,0.000209494335682882
BA.1,2021-07-07,17036,0,12609.7142857143,0,0,3.89393191208079e-08,0.000199178677763643
BA.1,2021-07-08,14320,0,12848.7142857143,0,0,3.82150358281598e-08,0.000195474255250739
BA.1,2021-07-09,13982,0,13237.4285714286,0,0,3.70949063713531e-08,0.000189745209191003
BA.1,2021-07-10,10008,1,13500.1428571429,0.142857142857143,1.05818986042476e-05,3.63722560373015e-08,0.000186049103748695
BA.1,2021-07-11,9391,0,13625.1428571429,0.142857142857143,1.04848179835598e-05,3.60385717442358e-08,0.000184342419887908
