index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
2478,18919,107,0.001524650897692,0.515713166144201,1.5471394984326,0.001943009868446,0.014177423755641,4.50310422413793E-05,9.73516333577586E-05,Medium Risk
4956,18742,108,0.001538899971502,0.520532915360502,1.5615987460815,0.001961168839179,0.014309923043077,4.54518931034483E-05,9.82614617068965E-05,Medium Risk
2464,18920,109,0.001553149045312,0.525352664576803,1.57605799373041,0.001979327809912,0.014442422330512,4.58727439655172E-05,9.91712900560345E-05,Medium Risk
5824,18680,109,0.001553149045312,0.525352664576802,1.57605799373041,0.001979327809912,0.014442422330512,4.58727439655172E-05,9.91712900560344E-05,Medium Risk
4984,18740,110,0.001567398119122,0.530172413793103,1.59051724137931,0.001997486780645,0.014574921617948,4.62935948275862E-05,0.000100081118405,Medium Risk
5026,18737,110,0.001567398119122,0.530172413793103,1.59051724137931,0.001997486780645,0.014574921617948,4.62935948275862E-05,0.000100081118405,Medium Risk
5012,18738,111,0.001581647192932,0.534992163009404,1.60497648902821,0.002015645751379,0.014707420905384,4.67144456896552E-05,0.000100990946754,Medium Risk
322,19073,112,0.001595896266743,0.539811912225705,1.61943573667712,0.002033804722112,0.01483992019282,4.71352965517241E-05,0.000101900775103,Medium Risk
2142,18943,112,0.001595896266743,0.539811912225705,1.61943573667712,0.002033804722112,0.01483992019282,4.71352965517241E-05,0.000101900775103,Medium Risk
2156,18942,112,0.001595896266743,0.539811912225705,1.61943573667712,0.002033804722112,0.01483992019282,4.71352965517241E-05,0.000101900775103,Medium Risk
4970,18741,112,0.001595896266743,0.539811912225705,1.61943573667712,0.002033804722112,0.01483992019282,4.71352965517241E-05,0.000101900775103,Medium Risk
294,19075,114,0.001624394414363,0.549451410658307,1.64835423197492,0.002070122663578,0.015104918767692,4.79769982758621E-05,0.000103720431802,Medium Risk
308,19074,114,0.001624394414363,0.549451410658307,1.64835423197492,0.002070122663578,0.015104918767692,4.79769982758621E-05,0.000103720431802,Medium Risk
4998,18739,114,0.001624394414363,0.549451410658307,1.64835423197492,0.002070122663578,0.015104918767692,4.79769982758621E-05,0.000103720431802,Medium Risk
5838,18679,114,0.001624394414363,0.549451410658307,1.64835423197492,0.002070122663578,0.015104918767692,4.79769982758621E-05,0.000103720431802,Medium Risk
5852,18678,114,0.001624394414363,0.549451410658307,1.64835423197492,0.002070122663578,0.015104918767692,4.79769982758621E-05,0.000103720431802,Medium Risk
6958,18599,114,0.001624394414363,0.549451410658307,1.64835423197492,0.002070122663578,0.015104918767692,4.79769982758621E-05,0.000103720431802,Medium Risk
2436,18922,117,0.001667141635794,0.56391065830721,1.69173197492163,0.002124599575777,0.01550241663,4.9239550862069E-05,0.000106449916849,Medium Risk
3052,18878,117,0.001667141635794,0.56391065830721,1.69173197492163,0.002124599575777,0.01550241663,4.9239550862069E-05,0.000106449916849,Medium Risk
2394,18925,118,0.001681390709604,0.568730407523511,1.70619122257053,0.002142758546511,0.015634915917435,4.96604017241379E-05,0.000107359745198,Medium Risk
2408,18924,118,0.001681390709604,0.568730407523511,1.70619122257053,0.002142758546511,0.015634915917435,4.96604017241379E-05,0.000107359745198,Medium Risk
2422,18923,118,0.001681390709604,0.568730407523511,1.70619122257053,0.002142758546511,0.015634915917435,4.96604017241379E-05,0.000107359745198,Medium Risk
2450,18921,118,0.001681390709604,0.568730407523511,1.70619122257053,0.002142758546511,0.015634915917435,4.96604017241379E-05,0.000107359745198,Medium Risk
5866,18677,119,0.001695639783414,0.573550156739812,1.72065047021944,0.002160917517244,0.015767415204871,5.00812525862069E-05,0.000108269573547,Medium Risk
490,19061,121,0.001724137931034,0.583189655172414,1.74956896551724,0.00219723545871,0.016032413779743,5.09229543103448E-05,0.000110089230246,Medium Risk
2492,18918,121,0.001724137931034,0.583189655172414,1.74956896551724,0.00219723545871,0.016032413779743,5.09229543103448E-05,0.000110089230246,Medium Risk
2506,18917,121,0.001724137931034,0.583189655172414,1.74956896551724,0.00219723545871,0.016032413779743,5.09229543103448E-05,0.000110089230246,Medium Risk
2520,18916,121,0.001724137931034,0.583189655172414,1.74956896551724,0.00219723545871,0.016032413779743,5.09229543103448E-05,0.000110089230246,Medium Risk
280,19076,122,0.001738387004845,0.588009404388715,1.76402821316614,0.002215394429443,0.016164913067179,5.13438051724138E-05,0.000110999058595,Medium Risk
2562,18913,122,0.001738387004845,0.588009404388715,1.76402821316614,0.002215394429443,0.016164913067179,5.13438051724138E-05,0.000110999058595,Medium Risk
5348,18714,122,0.001738387004845,0.588009404388715,1.76402821316614,0.002215394429443,0.016164913067179,5.13438051724138E-05,0.000110999058595,Medium Risk
5362,18713,122,0.001738387004845,0.588009404388715,1.76402821316614,0.002215394429443,0.016164913067179,5.13438051724138E-05,0.000110999058595,Medium Risk
5068,18734,125,0.001781134226275,0.602468652037617,1.80740595611285,0.002269871341643,0.016562410929487,5.26063577586207E-05,0.000113728543642,Medium Risk
2548,18914,126,0.001795383300085,0.607288401253918,1.82186520376176,0.002288030312376,0.016694910216923,5.30272086206897E-05,0.000114638371991,Medium Risk
5054,18735,126,0.001795383300085,0.607288401253918,1.82186520376175,0.002288030312376,0.016694910216923,5.30272086206896E-05,0.000114638371991,Medium Risk
5082,18733,126,0.001795383300085,0.607288401253918,1.82186520376176,0.002288030312376,0.016694910216923,5.30272086206897E-05,0.000114638371991,Medium Risk
5096,18732,126,0.001795383300085,0.607288401253918,1.82186520376176,0.002288030312376,0.016694910216923,5.30272086206897E-05,0.000114638371991,Medium Risk
5306,18717,126,0.001795383300085,0.607288401253918,1.82186520376176,0.002288030312376,0.016694910216923,5.30272086206897E-05,0.000114638371991,Medium Risk
