"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0113681765213312.","X.0.0341817122448053.","X.4.28309390127266e.05.","X.0.000312521507016888.","X.9.94892916597304e.07.","X.2.14598079960879e.06.","X.Low.Risk."
"183","19081","143","0.00203761755485893","0.155737676602611","0.467756365968186","0.000586759971226157","0.00428137030594396","1.361451678787e-05","2.9398739818807e-05","Medium Risk"
"197","19080","147","0.00209461385009974","0.160119939312422","0.48093601196294","0.000603270660210401","0.00440184269161148","1.39981235641933e-05","3.02259834507519e-05","Medium Risk"
"211","19079","131","0.00186662866913651","0.142721657256266","0.428665698305173","0.000537720591008432","0.00392354810166626","1.24767438148704e-05","2.69416942625402e-05","Medium Risk"
"225","19078","131","0.00186662866913651","0.142704268817259","0.428645221313868","0.000537655078024076","0.0039230700776707","1.24761478115614e-05","2.69384118314333e-05","Medium Risk"
"239","19077","131","0.00186662866913651","0.142735071046422","0.428730910252321","0.00053777112903685","0.00392391685895169","1.2478641873804e-05","2.69442263956462e-05","Medium Risk"
"253","19076","122","0.00173838700484469","0.13294722894762","0.399323384642709","0.00050089428540117","0.00365484018184161","1.16227064334107e-05","2.50965667314761e-05","Medium Risk"
"267","19075","114","0.00162439441436307","0.124217802214547","0.37312375348595","0.00046800514585282","0.00341486030530692","1.08601399689621e-05","2.3448705077884e-05","Medium Risk"
"281","19074","114","0.00162439441436307","0.124242608831774","0.373183918982353","0.000468098607694091","0.0034155422617654","1.08618911459004e-05","2.34533878450959e-05","Medium Risk"
"295","19073","112","0.00159589626674266","0.12205885287767","0.366641458369841","0.000459871050889934","0.00335550882540441","1.06714662873126e-05","2.30411582900968e-05","Medium Risk"
"309","19072","86","0.0012254203476774","0.0937176918951485","0.281548235404615","0.000353092401269696","0.00257638454595237","8.19474293968673e-06","1.7691172107793e-05","Low Risk"
"323","19071","86","0.0012254203476774","0.0937139846933966","0.281551093585961","0.000353078433952084","0.00257628263160611","8.19482612991298e-06","1.76904722960188e-05","Low Risk"
"337","19070","86","0.0012254203476774","0.0937144565197644","0.281561383448984","0.00035308021161329","0.00257629560254188","8.19512562666612e-06","1.76905613631022e-05","Low Risk"
"351","19069","94","0.00133941293815902","0.102413300560123","0.307749687463251","0.000385854127278191","0.00281543473305209","8.95736240330539e-06","1.93326498945719e-05","Medium Risk"
"365","19068","80","0.00113992590481619","0.0871404639459496","0.262038231917136","0.000328311923183669","0.00239557057048143","7.62688477818015e-06","1.64495829340898e-05","Low Risk"
"379","19067","86","0.0012254203476774","0.0936603041563837","0.281658272534387","0.000352876186229888","0.00257480690484437","8.19794568038586e-06","1.76803389732713e-05","Low Risk"
"393","19066","86","0.0012254203476774","0.0936437678944516","0.281622744420607","0.000352813883922654","0.00257435230797127","8.19691159910617e-06","1.7677217408389e-05","Low Risk"
"407","19065","93","0.00132516386434882","0.101264496019226","0.304565613119228","0.000381525871366933","0.0027838530518814","8.86468673544824e-06","1.91157890389508e-05","Medium Risk"
"421","19064","93","0.00132516386434882","0.101251790353054","0.304558442997064","0.000381478001278717","0.00278350376156802","8.86447804187255e-06","1.91133905790395e-05","Medium Risk"
"435","19063","93","0.00132516386434882","0.101220567754593","0.304547489650353","0.000381360366475281","0.00278264542395285","8.86415923376317e-06","1.91074966613398e-05","Medium Risk"
"449","19062","106","0.00151040182388145","0.115337051748889","0.347086716777704","0.000434545876385275","0.00317072040179992","1.01023059785319e-05","2.17722779086138e-05","Medium Risk"
"463","19061","121","0.00172413793103448","0.131577917128822","0.396086225193474","0.000495735242445571","0.00361719655514528","1.15284856704813e-05","2.48380805207539e-05","Medium Risk"
"477","19060","128","0.0018238814477059","0.139090039027343","0.418897369869157","0.000524038043188329","0.00382371161516526","1.21924268474117e-05","2.62561504573263e-05","Medium Risk"
"491","19059","178","0.00253633513821602","0.193335475238736","0.582389183519863","0.000728414089402017","0.00531496796940667","1.69510195755291e-05","3.64961097293892e-05","Medium Risk"
"505","19058","164","0.00233684810487318","0.178074866091693","0.536524665787253","0.000670917953724706","0.004895439951023","1.56160869224038e-05","3.36153509587597e-05","Medium Risk"
"519","19057","164","0.00233684810487318","0.178033581663346","0.536580287439687","0.000670762409796496","0.00489430500455739","1.56177058462195e-05","3.36075576604774e-05","Medium Risk"
"533","19056","164","0.00233684810487318","0.177954893563848","0.536608363067447","0.000670465943148192","0.00489214179716937","1.56185230154411e-05","3.35927036379029e-05","Medium Risk"
"547","19055","168","0.00239384440011399","0.182224169109368","0.549681969056281","0.000686550939732786","0.00500950806297748","1.59990433913521e-05","3.43986185822858e-05","Medium Risk"
