"","X.18438.","X.15.","X.0.000213736107153035.","X.0.117554858934169.","X.0.352664576802508.","X.0.000442901725198537.","X.0.00323168993746082.","X.1.02646551724138e.05.","X.2.21909353448276e.05.","X.Medium.Risk."
"911","19029","1246","0.0177543459675121","18.457517882483","55.3725536474491","0.0695408644708809","0.507413945728325","0.00161167354646265","0.00348424207786723","High Risk"
"925","19028","1246","0.0177543459675121","18.3486573084805","55.0459719254414","0.0691307194843701","0.50442126958733","0.0016021680588619","0.00346369237042686","High Risk"
"939","19027","1348","0.0192077514961527","19.6903509371875","59.0710528115625","0.0741857076680146","0.54130564713123","0.00171932206313334","0.00371696507082522","High Risk"
"953","19026","1458","0.020775149615275","21.0418042312304","63.1254126936911","0.0792774665360341","0.578458326747412","0.00183732826186257","0.00397208011193512","High Risk"
"967","19025","1440","0.0205186662866914","20.5113733397008","61.5341200191025","0.0772790059101863","0.563876299341516","0.001791012097276","0.0038719502004576","High Risk"
"981","19024","1963","0.0279709318894272","27.7624880508573","83.2874641525719","0.104598431447349","0.763216034507555","0.00242416493162476","0.0052407495779747","High Risk"
"995","19023","1768","0.0251923624964377","24.8276164145211","74.4828492435633","0.0935409581727012","0.682533745226784","0.00216789781008315","0.00468673124714776","High Risk"
"1009","19022","1768","0.0251923624964377","24.4818424872045","73.4455274616134","0.0922382143276087","0.673028105632837","0.00213770552229772","0.0046214591951494","High Risk"
"1023","19021","1768","0.0251923624964377","24.0311049528597","72.093314858579","0.0905400077763606","0.66063692106263","0.0020983480222738","0.00453637306963472","High Risk"
"1037","19020","1832","0.0261043032202907","24.280765459553","72.842296378659","0.0914806330310798","0.667500315350007","0.00212014787839725","0.00458350170568108","High Risk"
"1051","19019","1836","0.0261612995155315","23.6209763111501","70.8629289334504","0.088994799993259","0.64936211186721","0.00206253640953701","0.00445895272092472","High Risk"
"1065","19018","1835","0.0261470504417213","22.7941605988082","68.3824817964247","0.0858796747765077","0.626632196303226","0.00199034051516674","0.00430287398303996","High Risk"
"1079","19017","1936","0.0275862068965517","23.6282391090115","70.8847173270345","0.0890221634364356","0.649561772782796","0.00206317058252067","0.00446032372574091","High Risk"
"1093","19016","2050","0.0292106013109148","24.6934464506263","74.0803393518789","0.093035457089908","0.678845290949695","0.00215618235717579","0.00466140386365207","High Risk"
"1107","19015","2050","0.0292106013109148","24.160950832701","72.4828524981031","0.0910292173650844","0.664206502338203","0.00210968590480979","0.00456088419193522","High Risk"
"1121","19014","2050","0.0292106013109148","23.3005711806139","69.9017135418416","0.087787636066871","0.640553883558718","0.00203455927434884","0.00439846955927283","High Risk"
"1135","19013","2063","0.0293958392704474","22.3164255358036","66.9492766074107","0.0840797518680799","0.613498825127568","0.00194862564493529","0.00421269151001236","High Risk"
"1149","19012","2002","0.0285266457680251","20.5754318618042","61.7262955854127","0.0775203539089887","0.56563732634769","0.00179660555930902","0.00388404258468714","High Risk"
"1163","19011","2117","0.0301652892561983","20.788309037637","62.364927112911","0.078322393648448","0.571489513431161","0.00181519356854839","0.00392422759862978","High Risk"
"1177","19010","1631","0.02324023938444","15.7437891818608","47.2313675455823","0.0593165731559685","0.432811076784297","0.00137471618378172","0.00297196909583223","High Risk"
"1191","19009","1795","0.0255770874893132","16.9066820145884","50.7200460437653","0.0636979083598541","0.464780057904641","0.00147625766014983","0.00319148941084085","High Risk"
"1205","19008","1795","0.0255770874893132","16.3741287677269","49.1223863031808","0.061691451511251","0.450139685021304","0.00142975617574038","0.00309095886045841","High Risk"
"1219","19007","1795","0.0255770874893132","15.8431787648089","47.5295362944266","0.0596910350723331","0.435543386771429","0.00138339468338558","0.00299073095586207","High Risk"
"1233","19006","1771","0.0252351097178683","15.0232977067833","45.06989312035","0.0566020369794474","0.413004111158674","0.00131180430916091","0.00283596127884445","High Risk"
